tmdb_id,title,genres,avg_rating,overview,year
337674,Elle,"Drama, Thriller",6.138461538461538,"When Michèle, the CEO of a gaming software company, is attacked in her home by an unknown assailant, she refuses to let it alter her precisely ordered life. She manages crises involving family, all the while becoming engaged in a game of cat and mous",2016
763285,Ambulance,"Thriller, Action",5.8,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 mi",2022
317442,The Last: Naruto the Movie,"Action, Romance, Animation",6.904166666666666,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amid",2014
913290,Barbarian,"Horror, Mystery, Thriller",6.038888888888889,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",2022
9618,Tango & Cash,"Action, Adventure, Comedy, Thriller",6.501515151515152,"Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with ",1989
10040,Miss Congeniality 2: Armed and Fabulous,"Action, Comedy",6.251612903225807,"After her triumph at the Miss United States pageant, FBI agent Gracie Hart becomes an overnight sensation -- and the new ""face of the FBI"". But it's time to spring into action again when the pageant's winner, Cheryl, and emcee, Stan, are abducted.",2005
99,All About My Mother,"Comedy, Drama",7.2,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troub",1999
8859,"Dude, Where's My Car?","Comedy, Science Fiction",6.2924999999999995,Two stoners wake up after a night of partying and cannot remember where they parked their car.,2000
139038,A Haunted House,"Comedy, Horror",5.923076923076923,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spo",2013
47931,Elite Squad: The Enemy Within,"Drama, Action, Crime",7.25,"After a bloody invasion of the BOPE in the High-Security Penitentiary Bangu 1 in Rio de Janeiro to control a rebellion of interns, the Lieutenant-Colonel Roberto Nascimento and the second in command Captain André Matias are accused by the Human Right",2010
303857,Dragon Ball Z: Resurrection 'F',"Action, Animation, Science Fiction",6.450632911392406,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",2015
460885,Mandy,"Horror, Action, Thriller, Fantasy",5.890476190476191,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.",2018
35019,Nanny McPhee and the Big Bang,"Comedy, Fantasy, Family",6.75,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousi",2010
9564,Asterix & Obelix Take on Caesar,"Family, Adventure, Comedy, Fantasy",6.744736842105263,"Set in 50 B.C., Asterix and Obelix are living in a small but well-protected village in Gaul, where a magic potion concocted by Druids turns the townsfolk into mighty soldiers. When Roman troops carve a path through Gaul to reach the English Channel, ",1999
407451,A Wrinkle in Time,"Adventure, Science Fiction, Family, Fantasy",5.553999999999999,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",2018
81796,Lockout,"Action, Thriller, Science Fiction",6.301388888888889,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison",2012
16523,Where the Wild Things Are,"Family, Fantasy, Drama, Adventure",6.744318181818182,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.",2009
